,Survived,Age_new,Child_new,Fare_new,Sex_new,Alone_new
870,0,1.0,0,0,0,1
871,1,3.0,0,3,1,0
872,0,2.0,0,0,0,1
873,0,3.0,0,1,0,1
874,1,1.0,0,2,1,0
875,1,0.0,0,0,1,1
876,0,0.0,0,1,0,1
877,0,0.0,0,0,0,1
878,0,2.0,0,0,0,1
879,1,3.0,0,3,1,0
880,1,1.0,0,2,1,0
881,0,2.0,0,0,0,1
882,0,1.0,0,1,1,1
883,0,1.0,0,1,0,1
884,0,1.0,0,0,0,1
885,0,3.0,0,2,1,0
886,0,1.0,0,1,0,1
887,1,0.0,0,2,1,1
888,0,1.0,0,2,1,0
889,1,1.0,0,2,0,1
890,0,2.0,0,0,0,1
